,dcode,dname
0,A11AKP08C0036,10%포도당가엔에이케이주1
1,A11AKP08C0038,10%포도당가엔에이케이주2
2,A11APPPPP0629,10%포도당가엔에이케이주3
3,A11AOOOOO2364,5%포도당가엔에이케이주1
4,A11AOOOOO2365,5%포도당가엔에이케이주2(1000mL/백)
5,2016090100032,5%포도당가엔에이케이주2(500mL/백)
6,A11APPPPP2715,5%포도당가엔에이케이주4
7,A11APPPPP2717,5%포도당가엔에이케이주5
8,A11APPPPP2723,5%포도당가엔에이케이주6
9,A11APPPPP1517,5%포도당가엔에이케이주7
10,A11APPPPP1515,5%포도당가엔에이케이주8
11,A11APPPPP1520,5%포도당가엔에이케이주9
12,2018061800005,가그린목액
13,A11AOOOOO8955,가나릴정
14,A11AKP08G3016,가나메드정
15,2020042400051,가나모티에스알정15mg
16,A11AKP08A0426,가나모티정
17,2015100600050,가나슨캡슐
18,2020012200020,가나젠정
19,A11A0210A0657,가나칸정50mg
20,2020011300003,가나텍정
21,2015050100105,가나톤정50mg
22,A11AKP08F0016,가나티란정
23,2013022700026,가나프리드정
24,2017080100052,가나플럭스정20/1100mg
25,2015062200004,가나플럭스정40/1100mg
26,A11AKP08G4938,가나피드정
27,2018072400003,가네골드액
28,2019110800023,가네듀오캡슐
29,2023031600003,가네리드정
30,2018110100009,가네리버연질캡슐175mg
31,2018032800018,가네리버연질캡슐350mg
32,A11A1000A0222,가네마정
33,2019031401831,가네맥스에프연질캡슐
34,2017011600002,가네맥스연질캡슐
35,A11APPPPP1563,가네실린액
36,A11AKP08G0552,가네실린연질캡슐
37,A11AKP08G0551,가네실린캡슐
38,2009071505344,가네실린포르테연질캡슐
39,2022041200015,가네원연질캡슐350mg
40,2017022300010,가네유정(수출용)
41,2013022700006,가네조아350연질캡슐
42,2018102300013,가네존연질캡슐
43,2016012900008,가네진정
44,2020080500004,가네치온정100mg
45,A11A3100A0067,가네카정
46,2018031500003,가네콤맥스연질캡슐
47,A11AKP08A0303,가네쿨연질캡슐
48,2017021700005,가네타인액
49,A11AKP08K0139,가네탑골드연질캡슐
50,a1sx4ijdobyx2,가네탑에스연질캡슐
51,A11AKP08K0217,가네탑플러스연질캡슐350mg
52,2021030800024,가네톡액
53,A11AGGGGA1566,가네파솔5%주
54,A11AGGGGA1570,가네파솔8%주
55,2018072400004,가네포스액
56,2023113000002,가넥트액
57,2020022600009,가뉴틴캡슐300mg
58,2015091500004,가니레버프리필드시린지주0.25mg/0.5mL
59,A11A1830A0029,가니온과립(인진오령산)
60,A11AOOOOO9895,가니토정
61,2016012700039,가다실9주(인유두종바이러스9가백신)
62,2016012700038,가다실9프리필드시린지(인유두종바이러스9가백신)
63,A11AKP07L0421,가다실주(인유두종바이러스 4가 백신)
64,A11AKP07L0422,가다실프리필드시린지(인유두종바이러스4가백신)
65,2023111000001,가도바주프리필드시린지
66,2019072600011,가도브릭스주
67,2017101100011,가도브릭스프리필드실린지주(7mL)
68,2017061400001,가도브릭스프리필드실린지주(9.5mL)
69,A11AKP08F0794,가도비스트주사바이알
70,A11APPPPP0843,가도비스트주사프리필드시린지(10mL)
71,2022092800011,가도비스트주사프리필드시린지(15mL)
72,A11AOOOOO7206,가도비스트주사프리필드시린지(7.5mL)
73,2018120300077,가도비전프리필드주사(10mL)
74,2018120300078,가도비전프리필드주사(15mL)
75,2018090300011,가도비전프리필드주사(5mL)
76,2018110200014,가도비전프리필드주사(7.5mL)
77,2018120300076,가도비전프리필드주사(7mL)
78,A11ABBBBB0653,가두벌크림
79,2019100100003,가두에정5/10mg
80,2019100100004,가두에정5/20mg
81,2015052900035,가드렛정100mg
82,2016011100002,가드메트정100/1000mg
83,2016011100004,가드메트정100/500mg
84,2016011100003,가드메트정100/850mg
85,2017071100006,가드본정
86,2016040100047,가디엔정1000mg(수출용)
87,A11A5070A0028,가딘정
88,2015102100004,가딘정75mg
89,A11A5070A0025,가딘주
90,A11A2460A0152,가레오액
91,A11A2460A0057,가레오연질캡슐
92,A11A2460A0058,가레오연질캡슐500mg
93,2018021300003,가로틴캡슐100mg
94,2018073000002,가로틴캡슐300mg
95,A11ABBBBB2725,가르콘주
96,2017062300008,가리온정10mg
97,A11A0090A0032,가메레온과립(감맥대조탕)
98,A11AKP07L0302,가메레온순정산(감맥대조탕엑스)
99,2020042300053,가모드서방정15mg
100,2017113000014,가모드정
101,2018120300013,가모사드정
102,2020042900001,가모시드에스알정15mg
103,2010122200003,가모시드정5mg
104,2020042700065,가모텍에스알서방정15mg
105,2020042700029,가모틴에스알정15mg
106,2013050200006,가모틴정
107,A11AKP08A0428,가모프리정
108,2020050400012,가모피드서방정15mg
109,A11APPPPP1053,가모피드정5mg
110,2019012400003,가바뉴로서방정150mg
111,2019012400002,가바뉴로서방정300mg
112,2011110100007,가바뉴로캡슐150mg
113,2019030800008,가바뉴로캡슐25mg
114,2017080100034,가바뉴로캡슐300mg
115,2019030800009,가바뉴로캡슐50mg
116,2011110100006,가바뉴로캡슐75mg
117,2018082800003,가바랩캡슐100mg
118,A11APPPPP0105,가바렉스정600mg
119,2020030200021,가바렉스캡슐100mg
120,2014120500005,가바렉스캡슐300mg
121,A11AOOOOO7559,가바렙정600mg
122,A11AOOOOO7558,가바렙정800mg
123,A11AOOOOO5667,가바렙캡슐100mg
124,A11AOOOOO5607,가바렙캡슐300mg
125,2015073100004,가바로닌캡슐100mg
126,2015073100003,가바로닌캡슐300mg
127,A11AOOOOO7446,가바론캡슐300mg
128,2020041700019,가바론틴캡슐100mg
129,2020041700020,가바론틴캡슐300mg
130,2012071600002,가바리카캡슐100mg(수출용)
131,2011102800029,가바리카캡슐150mg(수출용)
132,2012050200008,가바리카캡슐300mg(수출용)
133,2011102800028,가바리카캡슐75mg(수출용)
134,2011110100043,가바린캡슐
135,2018020700004,가바메드캡슐150mg
136,2020013000006,가바메드캡슐25mg
137,2020013000007,가바메드캡슐50mg
138,2018020700005,가바메드캡슐75mg
139,A11AOOOOO3674,가바민정
140,A11AKP08G2833,가바스탄캡슐
141,2016061300001,가바스탄캡슐100mg
142,2019020700033,가바스틸캡슐100mg
143,2013081200003,가바스틸캡슐300mg
144,2020032600008,가바원캡슐100mg
145,2020032600007,가바원캡슐300mg
146,2015112600005,가바인캡슐100mg
147,2015111100018,가바인캡슐300mg
148,2019040500047,가바케이캡슐100mg
149,2019040500046,가바케이캡슐300mg
150,2015010700002,가바킹캡슐300mg
151,2019073000019,가바텍스캡슐100mg
152,2019072300086,가바텍스캡슐300mg
153,2019060400024,가바텐캡슐100mg
154,2019060400025,가바텐캡슐300mg
155,A11AOOOOO9326,가바토파정100mg
156,2019041600077,가바투캡슐100mg
157,2019041600076,가바투캡슐300mg
158,2018041700002,가바티론캡슐100mg
159,2018041700003,가바티론캡슐300mg
160,A11AOOOOO5471,가바틴정600mg
161,A11AOOOOO5472,가바틴정800mg
162,A11AOOOOO2702,가바틴캡슐100mg
163,A11AOOOOO2703,가바틴캡슐300mg
164,A11AOOOOO1777,가바틴캡슐400mg
165,A11APPPPP0615,가바페닌정800mg
166,A11AOOOOO5885,가바페닌캡슐100mg
167,A11AOOOOO5411,가바페닌캡슐300mg
